Month,Temperature (Â°C),Count,,
7,19,9,,
12,6,8,,
3,9,7,,
9,16,7,,
10,17,7,,
1,-2,6,,
2,6,6,,
4,13,6,,
7,18,6,,
8,19,6,,
8,22,6,,
9,14,6,,
9,17,6,,
11,6,6,,
2,9,5,,
3,10,5,,
4,10,5,,
5,16,5,,
5,19,5,,
8,17,5,,
10,13,5,,
11,10,5,,
12,4,5,,
1,-3,4,,
1,-1,4,,
1,3,4,,
2,7,4,,
2,11,4,,
3,11,4,,
3,12,4,,
4,6,4,,
4,11,4,,
4,12,4,,
5,11,4,,
6,17,4,,
6,19,4,,
6,20,4,,
7,23,4,,
8,16,4,,
9,12,4,,
10,12,4,,
11,7,4,,
11,8,4,,
12,2,4,,
1,1,3,,
3,8,3,,
4,9,3,,
5,12,3,,
6,18,3,,
6,21,3,,
6,22,3,,
7,22,3,,
8,20,3,,
10,11,3,,
10,14,3,,
10,18,3,,
11,4,3,,
12,3,3,,
12,9,3,,
1,6,2,,
1,8,2,,
2,4,2,,
2,10,2,,
3,7,2,,
3,13,2,,
3,14,2,,
4,8,2,,
5,10,2,,
5,13,2,,
5,17,2,,
5,21,2,,
6,14,2,,
6,23,2,,
6,28,2,,
7,17,2,,
7,20,2,,
7,27,2,,
8,18,2,,
8,21,2,,
8,23,2,,
9,19,2,,
9,20,2,,
10,8,2,,
11,3,2,,
11,9,2,,
11,12,2,,
12,5,2,,
1,0,1,,
1,2,1,,
1,4,1,,
1,5,1,,
1,7,1,,
1,10,1,,
2,-1,1,,
2,1,1,,
2,3,1,,
2,5,1,,
2,8,1,,
3,6,1,,
3,17,1,,
4,7,1,,
4,16,1,,
5,9,1,,
5,18,1,,
5,22,1,,
5,23,1,,
5,24,1,,
5,25,1,,
6,13,1,,
6,24,1,,
6,26,1,,
7,21,1,,
7,25,1,,
7,26,1,,
8,25,1,,
9,13,1,,
9,15,1,,
9,18,1,,
10,10,1,,
10,15,1,,
10,16,1,,
10,20,1,,
11,5,1,,
11,13,1,,
12,-1,1,,
12,0,1,,
12,1,1,,
12,8,1,,
12,10,1,,
12,12,1,,